sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
HSBC/PA,0.00,26.29,0.13,105065.24573,811017.944
GMAB,0.01,18.99,0.18,115.38054,648.037
MTP,0.02,1.35,0.02,4.34406,204.7
TRVI,0.02,5.15,0.12,2.22554,17.835
AFYA,0.03,24.75,0.70,62.65532,89.744
PFSCD,0.03,11.3,0.36,8.35183,23.313
MIRM,0.05,14.76,0.76,17.4042,23.016
BTTR,0.06,3.95,0.25,10.39269,42.22
ATV,0.07,17.1038,1.22,44.10903,36.137
FULC,0.08,11.48,0.92,21.525,23.34
CSTL,0.10,21.6,2.25,37.49652,16.649
FCEL,0.11,0.3498,0.04,4.11581,107.735
SLS,0.12,0.165,0.02,4.08574,210.093
HCAT,0.13,45.87,5.78,208.8509,36.128
NFE,0.13,12.12,1.57,262.96294,167.896
PROS,0.15,18.21,2.80,108.97368,38.851
JAGX,0.16,1.5545,0.24,2.2792,9.378
AMCR,0.18,10.47,1.89,3068.90006,1625.823
IBKR,0.19,47.62,8.99,3718.95769,413.793
MDLY,0.19,3.41,0.65,19.83597,30.523
BRPM,0.19,9.82,1.91,35.17951,18.431
LVGO,0.20,37.54,7.33,651.51378,88.933
BIEI,0.20,0.0312,0.01,0.06211,9.717
DPW,0.21,2.39,0.50,0.5394,1.078
NOVA,0.23,11.75,2.74,227.8965,83.116
ALTM,0.23,2.79,0.65,212.04907,324.929
THCA,0.23,9.75,2.29,43.875,19.153
MGP,0.24,29.71,7.07,2723.5866,385.14
DOYU,0.24,9.56,2.29,743.48236,324.624
BCDA,0.25,14,3.43,23.07648,6.725
FLLCU,0.25,9.9877,2.49,14.30839,5.75
CUR,0.25,2.15,0.54,1.98424,3.688
PZN,0.26,7.41,1.93,135.31375,70.074
CVNA,0.27,78.1,20.73,3133.82021,151.153
ALAC,0.28,10.141,2.83,41.53754,14.69
SGSI,0.28,0.052,0.01,0.49533,33.558
BRPM/U,0.29,10,2.88,35.94,12.5
CNACU,0.29,10.001,2.88,53.43534,18.53
CEI,0.29,0.317,0.09,0.1976,2.155
RZLT,0.29,0.24,0.07,14.84784,210.39
BH,0.30,104.33,30.97,64.07478,2.069
SWCH,0.30,14.94,4.44,1118.95805,252.074
THCAU,0.30,10.0115,2.98,45.27,15.215
TRNX,0.30,0.436,0.13,10.72882,81.664
APLT,0.30,8.75,2.66,46.869,17.652
JFK,0.31,9.98,3.13,23.23344,7.428
PLM,0.32,0.372,0.12,120.82388,1005.037
CRSA,0.34,9.8,3.30,82.40018,25
CRSAU,0.34,10.13,3.42,85.43642,25
RKDA,0.34,4.5,1.53,9.60177,6.267
CG,0.34,22.5,7.67,2616.948,341.362
XBIO,0.35,2.21,0.77,2.04521,2.652
GSKY,0.35,7.55,2.65,469.4672,177.082
BLIN,0.35,1.96,0.69,0.6561,0.951
YCBD,0.35,5.11,1.81,49.7313,27.42
BW,0.36,3.62,1.32,60.79032,46.128
HEPA,0.37,2.21,0.81,0.65043,0.803
TRMT,0.39,4.66,1.80,14.71877,8.192
ROSE,0.39,1.9,0.74,32.8601,44.204
PSV,0.39,1.77,0.70,14.08434,20.162
CHNG,0.40,13.2,5.25,1579.7322,300.756
ALACU,0.40,10.485,4.18,43.008,10.3
BURG,0.40,0.681,0.27,2.71914,10.024
TNXP,0.40,0.46,0.18,2.82332,15.338
IIIV,0.41,23.78,9.67,263.99424,27.313
GSHD,0.41,46.2,18.99,689.24683,36.288
PULM,0.41,0.8405,0.35,6.8238,19.625
CWH,0.41,8.91,3.69,324.64783,87.906
EPIX,0.41,1.68,0.70,10.22382,14.682
OZM,0.42,23.91,10.05,501.77024,49.929
SPKE,0.42,10.58,4.45,155.4478,34.942
EVOP,0.42,29.28,12.33,980.16296,79.483
OTLK,0.43,2.11,0.91,25.7544,28.233
AMRX,0.44,2.91,1.28,382.40007,299.091
VXRT,0.44,0.69,0.31,4.83778,15.786
OAK,0.45,51.62,23.41,3737.56,159.659
ARES,0.46,28.2,12.97,2909.15625,224.318
IZEA,0.46,0.4885,0.22,6.09851,27.144
BBU,0.46,35.98,16.58,2388.74558,144.099
ELTK,0.46,3.4005,1.57,6.87831,4.38
NIDB,0.46,37,17.20,44.622,2.594
JFKKU,0.47,10.67,4.97,24.83976,5
HHHHU,0.48,10.28,4.92,24.6206,5
